exposure	metabolite	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	meta_direction
bmi	mvldlfc	Free cholesterol in medium VLDL (mmol/l)	0.0957383602158371	0.0184499045262646	2.1131532120983e-07	0.0221114648527157	0.0123345320786739	0.0730293481702509	2.93008605857985e-07	0.0112362498358839	0.000561607385858545	2.11202241119296e-84	+ + + +
bmi	mvldll	Total lipids in medium VLDL (mmol/l)	0.110027603164301	0.0190602219091872	7.80438264329659e-09	0.0534974732910339	0.0144967265085305	0.00022397737851483	4.9070955209823e-11	0.090794615007115	0.00445882225103343	3.35542980366674e-87	+ + + +
bmi	mvldltg	Triglycerides in medium VLDL (mmol/l)	0.101709882343821	0.0183179936220914	2.81681102275596e-08	0.0252205130726553	0.0132108275731953	0.056251905422637	3.36914186918524e-08	0.0506549432619608	0.00245938980938837	4.63266056986563e-89	+ + + +
bmi	phe	Phenylalanine (mmol/l)	0.0742538137030682	0.0173082353947162	1.78604157706067e-05	0.104570882486173	0.0123969623922588	3.30631126569706e-17	2.94557968749797e-20	0.00146278273737314	0.000106817954381405	1.27885157925631e-41	+ + + +
bmi	serumtg	Serum total triglycerides (mmol/l)	0.10743150814937	0.0187252642128576	9.6226589857116e-09	0.0567804163171337	0.0141926792697807	6.31598150476506e-05	1.77035896302784e-11	0.161835217107501	0.00816054941832725	4.95139149977383e-83	+ + + +
bmi	shdltg	Triglycerides in small HDL (mmol/l)	0.0932967443533299	0.0177541341893077	1.48080239311441e-07	0.0669879407628853	0.0137284297087408	1.06352452648042e-06	4.80011354976086e-12	0.00451143434283884	0.000217654661425849	4.13265765559055e-90	+ + + +
bmi	svldll	Total lipids in small VLDL (mmol/l)	0.0972325628168498	0.0193759711279767	5.21569591913576e-07	0.0582645682265094	0.0144081926505733	5.25805915983377e-05	6.9437542572385e-10	0.0645821612245253	0.00320229349939339	1.17179688204182e-85	+ + + +
bmi	svldltg	Triglycerides in small VLDL (mmol/l)	0.101059089384461	0.0185798104241235	5.35238314202149e-08	0.0273882558369874	0.0139092778656844	0.0489457626247884	5.43867911580116e-08	0.0297050818565215	0.00148089817630235	8.34773694900245e-85	+ + + +
bmi	tyr	Tyrosine (mmol/l)	0.0627872782071166	0.0165966505257157	0.000154868785630746	0.0604080217083686	0.0126318937417729	1.73402102990298e-06	6.18675652640836e-09	0.00342540376445161	0.000192484320304326	6.88466935467013e-68	+ + + +
bmi	val	Valine (mmol/l)	0.0560734273343357	0.0170946647852506	0.00103744107107199	0.0599220825699869	0.0118075349939497	3.87695829428176e-07	9.10367406039931e-09	0.0105815335986466	0.000490930615393104	7.45575879775091e-97	+ + + +
bmi	vldld	Mean diameter for VLDL particles (nm)	0.0874446899956431	0.0189418198452433	3.90287985698533e-06	0.0425711002039037	0.0142648764964705	0.00284199991009118	2.14264337277619e-07	0.439557637718613	0.0201822499094284	9.96903198977732e-99	+ + + +
bmi	xlhdlfc	Free cholesterol in very large HDL (mmol/l)	-0.0699260852865778	0.0179730324538584	9.99919504031143e-05	-0.0657904492097055	0.0131217508088084	5.33524527254886e-07	1.31525518046233e-09	-0.00942562298164529	0.000457398150758633	3.81865144715585e-89	- - - -
bmi	xlhdll	Total lipids in very large HDL (mmol/l)	-0.063742901420982	0.0184885659380491	0.000565396061802958	-0.087435469820632	0.0141782573831168	6.96549852282618e-10	1.16426412599329e-11	-0.0733065499765881	0.00354858692966953	1.49363789883128e-89	- - - -
bmi	xlhdlp	Concentration of very large HDL particles (mol/l)	-0.0626365539083307	0.0188256031993896	0.000877232722214872	-0.0557625083489897	0.0137990701772438	5.32160975179428e-05	8.34685054444571e-07	-6.37600947345106e-08	2.99218678056654e-09	7.83298296920454e-95	- - - -
bmi	xlhdlpl	Phospholipids in very large HDL (mmol/l)	-0.0934334140468239	0.0190843946457577	9.79056965945116e-07	-0.0557625083489897	0.0137990701772438	5.32160975179428e-05	1.28575397717088e-09	-0.0407466984978299	0.00185013448621503	8.94464616867358e-101	- - - -
bmi	xlvldll	Total lipids in very large VLDL (mmol/l)	0.112217582725525	0.0185578691555499	1.47659157876941e-09	0.0479382710112856	0.0136411263478666	0.000441004528860371	1.89233847519114e-11	0.0175592143143891	0.00088945915563103	2.46449371558699e-82	+ + + +
bmi	xlvldlp	Concentration of very large VLDL particles (mol/l)	0.109786105171105	0.018810880740326	5.33700039657409e-09	0.0234561473643903	0.0136950847048411	0.0867600066401124	1.04152159746279e-08	1.74825633716149e-10	8.98302379678577e-12	3.48694188396796e-80	+ + + +
bmi	xlvldlpl	Phospholipids in very large VLDL (mmol/l)	0.104817810067766	0.0182497937100137	9.27357641380774e-09	0.0234561473643903	0.0136950847048411	0.0867600066401124	1.76529558201306e-08	0.00286311244308497	0.000147991603707094	2.64360887403403e-79	+ + + +
bmi	xlvldltg	Triglycerides in very large VLDL (mmol/l)	0.105133827606423	0.0179991416291302	5.18738455810796e-09	0.0148641827643033	0.013909375578904	0.285229724918409	3.15620027800229e-08	0.0112133682708032	0.000564077911869263	2.10927390345588e-83	+ + + +
bmi	xsvldll	Total lipids in very small VLDL (mmol/l)	0.0872090734162023	0.0183428313036538	1.99041123875543e-06	0.0415308183001466	0.0140627755390358	0.0031445252054726	1.24484866157742e-07	0.0264576818929307	0.00205169404952608	3.31607542500751e-37	+ + + +
bmi	xsvldltg	Triglycerides in very small VLDL (mmol/l)	0.107166288958605	0.0191696751437469	2.26537797976333e-08	0.0412521283689747	0.0138291130178533	0.00285445801314544	1.58180507791328e-09	0.00992304155143715	0.000554724167955648	1.50987558100588e-68	+ + + +
bmi	xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	0.115604039505452	0.0186840970689842	6.12049653897439e-10	0.0448752699618976	0.0135108980528803	0.000895629585334765	1.60242038306602e-11	0.00644894557067635	0.000333592972643732	3.41842970002943e-79	+ + + +
